Mon Apr 22 17:21:36 2013    output/python_streaming_number_data.profile

         6108036 function calls (5708036 primitive calls) in 13.611 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100001    5.853    0.000    5.853    0.000 {method 'readline' of 'file' objects}
        1    2.235    2.235   13.611   13.611 /Users/jpacker/code/java-python-streaming/controller.py:50(main)
500000/100000    1.354    0.000    1.561    0.000 /Users/jpacker/code/java-python-streaming/controller.py:273(serialize_output)
   400000    0.887    0.000    0.887    0.000 /Users/jpacker/code/java-python-streaming/controller.py:188(_deserialize_input)
   100000    0.606    0.000    1.774    0.000 /Users/jpacker/code/java-python-streaming/controller.py:176(deserialize_input)
   399864    0.420    0.000    1.106    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1594(debug)
   400000    0.347    0.000    1.465    0.000 /Users/jpacker/code/java-python-streaming/controller.py:149(log_message)
   100137    0.270    0.000    0.271    0.000 {method 'write' of 'file' objects}
   400001    0.270    0.000    0.429    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1324(isEnabledFor)
   100001    0.263    0.000    6.191    0.000 /Users/jpacker/code/java-python-streaming/controller.py:128(get_next_input)
   399864    0.207    0.000    0.636    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1110(debug)
   400280    0.169    0.000    0.169    0.000 {isinstance}
   400001    0.160    0.000    0.160    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1310(getEffectiveLevel)
  1100002    0.123    0.000    0.123    0.000 {len}
   100002    0.107    0.000    0.107    0.000 {method 'split' of 'str' objects}
   400011    0.067    0.000    0.067    0.000 {method 'append' of 'list' objects}
   100002    0.061    0.000    0.061    0.000 {method 'endswith' of 'str' objects}
   400137    0.058    0.000    0.058    0.000 {method 'flush' of 'file' objects}
   100000    0.057    0.000    0.057    0.000 /Users/jpacker/code/java-python-streaming/fake_udfs.py:1(wrap_args)
   100000    0.047    0.000    0.047    0.000 {range}
   100002    0.038    0.000    0.038    0.000 {method 'join' of 'str' objects}

Mon Apr 22 17:23:40 2013    output/python_streaming_string_data.profile

         6508036 function calls (6108036 primitive calls) in 20.204 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   100001   12.410    0.000   12.410    0.000 {method 'readline' of 'file' objects}
        1    2.175    2.175   20.204   20.204 /Users/jpacker/code/java-python-streaming/controller.py:50(main)
500000/100000    1.346    0.000    1.965    0.000 /Users/jpacker/code/java-python-streaming/controller.py:273(serialize_output)
   100000    0.606    0.000    1.466    0.000 /Users/jpacker/code/java-python-streaming/controller.py:176(deserialize_input)
   400000    0.591    0.000    0.591    0.000 /Users/jpacker/code/java-python-streaming/controller.py:188(_deserialize_input)
   400000    0.433    0.000    0.433    0.000 {method 'encode' of 'unicode' objects}
   399864    0.429    0.000    1.125    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1594(debug)
   400000    0.351    0.000    1.487    0.000 /Users/jpacker/code/java-python-streaming/controller.py:149(log_message)
   400001    0.270    0.000    0.434    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1324(isEnabledFor)
   100001    0.265    0.000   12.746    0.000 /Users/jpacker/code/java-python-streaming/controller.py:128(get_next_input)
   100137    0.246    0.000    0.247    0.000 {method 'write' of 'file' objects}
   399864    0.213    0.000    0.647    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1110(debug)
   400001    0.164    0.000    0.164    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1310(getEffectiveLevel)
   400280    0.151    0.000    0.151    0.000 {isinstance}
  1100002    0.123    0.000    0.123    0.000 {len}
   100002    0.098    0.000    0.098    0.000 {method 'split' of 'str' objects}
   400011    0.067    0.000    0.067    0.000 {method 'append' of 'list' objects}
   100000    0.063    0.000    0.063    0.000 /Users/jpacker/code/java-python-streaming/fake_udfs.py:1(wrap_args)
   100002    0.057    0.000    0.057    0.000 {method 'endswith' of 'str' objects}
   400137    0.057    0.000    0.057    0.000 {method 'flush' of 'file' objects}
   100000    0.045    0.000    0.045    0.000 {range}
   100002    0.034    0.000    0.034    0.000 {method 'join' of 'str' objects}

Mon Apr 22 17:25:19 2013    output/python_streaming_shallow_map_data.profile

